Id,Id2,Geography,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US09001010101,09001010101,"Census Tract 101.01, Fairfield County, Connecticut",4221,397,4221,,4221,397,4221,,4075,411,96.5,2.4
1400000US09001010102,09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4216,399,4216,,4216,399,4216,,3532,375,83.8,8.5
1400000US09001010201,09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3471,349,3471,,3471,349,3471,,3075,342,88.6,5.7
1400000US09001010202,09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5245,378,5245,,5245,378,5245,,4636,347,88.4,3.5
1400000US09001010300,09001010300,"Census Tract 103, Fairfield County, Connecticut",3974,261,3974,,3974,261,3974,,3587,303,90.3,4.7
1400000US09001010400,09001010400,"Census Tract 104, Fairfield County, Connecticut",5288,478,5288,,5288,478,5288,,4793,471,90.6,5.4
1400000US09001010500,09001010500,"Census Tract 105, Fairfield County, Connecticut",5129,545,5129,,5129,545,5129,,3833,474,74.7,7.9
1400000US09001010600,09001010600,"Census Tract 106, Fairfield County, Connecticut",1767,211,1767,,1767,211,1767,,1562,198,88.4,5.1
1400000US09001010700,09001010700,"Census Tract 107, Fairfield County, Connecticut",3970,403,3970,,3970,403,3970,,3594,399,90.5,4.3
1400000US09001010800,09001010800,"Census Tract 108, Fairfield County, Connecticut",3251,315,3251,,3251,315,3251,,2989,342,91.9,4.0
1400000US09001010900,09001010900,"Census Tract 109, Fairfield County, Connecticut",5108,255,5108,,5108,255,5108,,4040,312,79.1,5.2
1400000US09001011000,09001011000,"Census Tract 110, Fairfield County, Connecticut",5224,368,5224,,5224,368,5224,,4823,401,92.3,4.0
1400000US09001011100,09001011100,"Census Tract 111, Fairfield County, Connecticut",5102,313,5102,,5102,313,5102,,4899,320,96.0,2.5
1400000US09001011200,09001011200,"Census Tract 112, Fairfield County, Connecticut",1939,192,1939,,1939,192,1939,,1851,202,95.5,3.3
1400000US09001011300,09001011300,"Census Tract 113, Fairfield County, Connecticut",3828,312,3828,,3828,312,3828,,2586,324,67.6,8.2
1400000US09001020100,09001020100,"Census Tract 201, Fairfield County, Connecticut",4108,522,4108,,4108,522,4108,,2138,504,52.0,9.1
1400000US09001020200,09001020200,"Census Tract 202, Fairfield County, Connecticut",3684,265,3684,,3684,265,3684,,3570,288,96.9,2.2
1400000US09001020300,09001020300,"Census Tract 203, Fairfield County, Connecticut",7194,453,7194,,7194,453,7194,,6482,508,90.1,3.7
1400000US09001020400,09001020400,"Census Tract 204, Fairfield County, Connecticut",3602,446,3602,,3602,446,3602,,3409,434,94.6,3.3
1400000US09001020500,09001020500,"Census Tract 205, Fairfield County, Connecticut",4481,335,4481,,4481,335,4481,,3907,307,87.2,5.3
1400000US09001020600,09001020600,"Census Tract 206, Fairfield County, Connecticut",4665,316,4665,,4665,316,4665,,3709,260,79.5,4.8
1400000US09001020700,09001020700,"Census Tract 207, Fairfield County, Connecticut",4289,268,4289,,4289,268,4289,,4023,274,93.8,2.9
1400000US09001020800,09001020800,"Census Tract 208, Fairfield County, Connecticut",2880,226,2880,,2880,226,2880,,2696,236,93.6,3.7
1400000US09001020900,09001020900,"Census Tract 209, Fairfield County, Connecticut",4300,382,4300,,4300,382,4300,,3175,360,73.8,5.8
1400000US09001021000,09001021000,"Census Tract 210, Fairfield County, Connecticut",2967,202,2967,,2967,202,2967,,2444,255,82.4,6.0
1400000US09001021100,09001021100,"Census Tract 211, Fairfield County, Connecticut",5445,481,5445,,5445,481,5445,,4255,414,78.1,6.8
1400000US09001021200,09001021200,"Census Tract 212, Fairfield County, Connecticut",4455,331,4455,,4455,331,4455,,3824,281,85.8,4.9
1400000US09001021300,09001021300,"Census Tract 213, Fairfield County, Connecticut",4244,541,4244,,4244,541,4244,,2707,506,63.8,7.6
1400000US09001021400,09001021400,"Census Tract 214, Fairfield County, Connecticut",7353,796,7353,,7353,796,7353,,2285,562,31.1,7.7
1400000US09001021500,09001021500,"Census Tract 215, Fairfield County, Connecticut",6885,656,6885,,6885,656,6885,,2109,581,30.6,8.0
1400000US09001021600,09001021600,"Census Tract 216, Fairfield County, Connecticut",7386,758,7386,,7386,758,7386,,3191,626,43.2,7.8
1400000US09001021700,09001021700,"Census Tract 217, Fairfield County, Connecticut",6620,619,6620,,6620,619,6620,,3275,487,49.5,7.2
1400000US09001021801,09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4614,571,4614,,4614,571,4614,,2435,366,52.8,9.6
1400000US09001021802,09001021802,"Census Tract 218.02, Fairfield County, Connecticut",4979,508,4979,,4979,508,4979,,2233,340,44.8,5.9
1400000US09001021900,09001021900,"Census Tract 219, Fairfield County, Connecticut",6080,637,6080,,6080,637,6080,,4109,640,67.6,10.1
1400000US09001022000,09001022000,"Census Tract 220, Fairfield County, Connecticut",2665,325,2665,,2665,325,2665,,1330,273,49.9,12.8
1400000US09001022100,09001022100,"Census Tract 221, Fairfield County, Connecticut",8226,892,8226,,8226,892,8226,,3026,479,36.8,7.0
1400000US09001022200,09001022200,"Census Tract 222, Fairfield County, Connecticut",4341,576,4341,,4341,576,4341,,1446,359,33.3,8.6
1400000US09001022300,09001022300,"Census Tract 223, Fairfield County, Connecticut",6320,799,6320,,6320,799,6320,,2814,576,44.5,10.2
1400000US09001022400,09001022400,"Census Tract 224, Fairfield County, Connecticut",2212,126,2212,,2212,126,2212,,2052,131,92.8,4.9
1400000US09001030100,09001030100,"Census Tract 301, Fairfield County, Connecticut",3621,224,3621,,3621,224,3621,,3553,229,98.1,1.5
1400000US09001030200,09001030200,"Census Tract 302, Fairfield County, Connecticut",3782,274,3782,,3782,274,3782,,3549,230,93.8,6.3
1400000US09001030300,09001030300,"Census Tract 303, Fairfield County, Connecticut",4218,297,4218,,4218,297,4218,,4098,296,97.2,2.3
1400000US09001030400,09001030400,"Census Tract 304, Fairfield County, Connecticut",4049,252,4049,,4049,252,4049,,3836,273,94.7,3.0
1400000US09001030500,09001030500,"Census Tract 305, Fairfield County, Connecticut",5255,283,5255,,5255,283,5255,,5050,300,96.1,2.0
1400000US09001035100,09001035100,"Census Tract 351, Fairfield County, Connecticut",7833,389,7833,,7833,389,7833,,7323,371,93.5,3.8
1400000US09001035200,09001035200,"Census Tract 352, Fairfield County, Connecticut",3145,317,3145,,3145,317,3145,,3119,313,99.2,0.8
1400000US09001035300,09001035300,"Census Tract 353, Fairfield County, Connecticut",3799,238,3799,,3799,238,3799,,3643,251,95.9,2.5
1400000US09001035400,09001035400,"Census Tract 354, Fairfield County, Connecticut",5161,270,5161,,5161,270,5161,,5033,275,97.5,1.4
1400000US09001042500,09001042500,"Census Tract 425, Fairfield County, Connecticut",4187,251,4187,,4187,251,4187,,3838,271,91.7,5.4
1400000US09001042600,09001042600,"Census Tract 426, Fairfield County, Connecticut",4319,310,4319,,4319,310,4319,,3645,314,84.4,5.5
1400000US09001042700,09001042700,"Census Tract 427, Fairfield County, Connecticut",4901,363,4901,,4901,363,4901,,3896,368,79.5,7.0
1400000US09001042800,09001042800,"Census Tract 428, Fairfield County, Connecticut",4846,431,4846,,4846,431,4846,,4194,431,86.5,4.7
1400000US09001042900,09001042900,"Census Tract 429, Fairfield County, Connecticut",1653,95,1653,,1653,95,1653,,1575,96,95.3,2.6
1400000US09001043000,09001043000,"Census Tract 430, Fairfield County, Connecticut",2966,494,2966,,2966,494,2966,,2566,350,86.5,9.8
1400000US09001043100,09001043100,"Census Tract 431, Fairfield County, Connecticut",5003,374,5003,,5003,374,5003,,4502,394,90.0,3.5
1400000US09001043200,09001043200,"Census Tract 432, Fairfield County, Connecticut",3080,442,3080,,3080,442,3080,,1922,347,62.4,11.5
1400000US09001043300,09001043300,"Census Tract 433, Fairfield County, Connecticut",3461,412,3461,,3461,412,3461,,2963,481,85.6,5.8
1400000US09001043400,09001043400,"Census Tract 434, Fairfield County, Connecticut",4182,366,4182,,4182,366,4182,,2617,383,62.6,8.2
1400000US09001043500,09001043500,"Census Tract 435, Fairfield County, Connecticut",2751,171,2751,,2751,171,2751,,2357,186,85.7,6.0
1400000US09001043600,09001043600,"Census Tract 436, Fairfield County, Connecticut",3255,206,3255,,3255,206,3255,,2657,215,81.6,6.1
1400000US09001043700,09001043700,"Census Tract 437, Fairfield County, Connecticut",2224,321,2224,,2224,321,2224,,1348,310,60.6,11.0
1400000US09001043800,09001043800,"Census Tract 438, Fairfield County, Connecticut",8744,762,8744,,8744,762,8744,,5906,839,67.5,8.3
1400000US09001043900,09001043900,"Census Tract 439, Fairfield County, Connecticut",5527,702,5527,,5527,702,5527,,4541,642,82.2,6.5
1400000US09001044000,09001044000,"Census Tract 440, Fairfield County, Connecticut",5160,569,5160,,5160,569,5160,,3225,598,62.5,9.8
1400000US09001044100,09001044100,"Census Tract 441, Fairfield County, Connecticut",3437,433,3437,,3437,433,3437,,2174,478,63.3,11.5
1400000US09001044200,09001044200,"Census Tract 442, Fairfield County, Connecticut",3244,417,3244,,3244,417,3244,,2548,395,78.5,8.6
1400000US09001044300,09001044300,"Census Tract 443, Fairfield County, Connecticut",3827,308,3827,,3827,308,3827,,3395,371,88.7,5.6
1400000US09001044400,09001044400,"Census Tract 444, Fairfield County, Connecticut",3534,394,3534,,3534,394,3534,,1818,433,51.4,11.0
1400000US09001044500,09001044500,"Census Tract 445, Fairfield County, Connecticut",2771,478,2771,,2771,478,2771,,671,257,24.2,10.1
1400000US09001044600,09001044600,"Census Tract 446, Fairfield County, Connecticut",3427,308,3427,,3427,308,3427,,3354,317,97.9,1.7
1400000US09001045101,09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4392,257,4392,,4392,257,4392,,4169,276,94.9,2.6
1400000US09001045102,09001045102,"Census Tract 451.02, Fairfield County, Connecticut",6079,310,6079,,6079,310,6079,,5658,296,93.1,2.4
1400000US09001045200,09001045200,"Census Tract 452, Fairfield County, Connecticut",2392,121,2392,,2392,121,2392,,2288,149,95.7,3.3
1400000US09001045300,09001045300,"Census Tract 453, Fairfield County, Connecticut",2458,204,2458,,2458,204,2458,,2232,266,90.8,6.2
1400000US09001045400,09001045400,"Census Tract 454, Fairfield County, Connecticut",3032,204,3032,,3032,204,3032,,2782,228,91.8,4.0
1400000US09001050100,09001050100,"Census Tract 501, Fairfield County, Connecticut",4036,232,4036,,4036,232,4036,,3713,298,92.0,3.9
1400000US09001050200,09001050200,"Census Tract 502, Fairfield County, Connecticut",4060,259,4060,,4060,259,4060,,3711,262,91.4,4.3
1400000US09001050300,09001050300,"Census Tract 503, Fairfield County, Connecticut",8279,308,8279,,8279,308,8279,,7789,325,94.1,1.6
1400000US09001050400,09001050400,"Census Tract 504, Fairfield County, Connecticut",2493,279,2493,,2493,279,2493,,2204,291,88.4,7.1
