Id,Id2,Geography,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
1400000US09001010101,09001010101,"Census Tract 101.01, Fairfield County, Connecticut",3969,361,182,101,4.6,2.6
1400000US09001010102,09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4207,397,178,107,4.2,2.6
1400000US09001010201,09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3271,339,85,60,2.6,1.9
1400000US09001010202,09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5244,378,79,56,1.5,1.1
1400000US09001010300,09001010300,"Census Tract 103, Fairfield County, Connecticut",3964,262,81,58,2.0,1.4
1400000US09001010400,09001010400,"Census Tract 104, Fairfield County, Connecticut",5288,478,191,136,3.6,2.6
1400000US09001010500,09001010500,"Census Tract 105, Fairfield County, Connecticut",5129,545,306,171,6.0,3.4
1400000US09001010600,09001010600,"Census Tract 106, Fairfield County, Connecticut",1753,210,213,122,12.2,6.9
1400000US09001010700,09001010700,"Census Tract 107, Fairfield County, Connecticut",3970,403,345,150,8.7,3.9
1400000US09001010800,09001010800,"Census Tract 108, Fairfield County, Connecticut",3247,315,185,105,5.7,3.2
1400000US09001010900,09001010900,"Census Tract 109, Fairfield County, Connecticut",5108,255,259,144,5.1,2.8
1400000US09001011000,09001011000,"Census Tract 110, Fairfield County, Connecticut",5224,368,83,72,1.6,1.4
1400000US09001011100,09001011100,"Census Tract 111, Fairfield County, Connecticut",5102,313,89,82,1.7,1.6
1400000US09001011200,09001011200,"Census Tract 112, Fairfield County, Connecticut",1938,192,72,55,3.7,2.8
1400000US09001011300,09001011300,"Census Tract 113, Fairfield County, Connecticut",3828,312,317,184,8.3,4.6
1400000US09001020100,09001020100,"Census Tract 201, Fairfield County, Connecticut",4085,514,1191,497,29.2,10.7
1400000US09001020200,09001020200,"Census Tract 202, Fairfield County, Connecticut",3662,271,111,71,3.0,2.0
1400000US09001020300,09001020300,"Census Tract 203, Fairfield County, Connecticut",7078,435,153,109,2.2,1.5
1400000US09001020400,09001020400,"Census Tract 204, Fairfield County, Connecticut",3602,446,80,67,2.2,1.9
1400000US09001020500,09001020500,"Census Tract 205, Fairfield County, Connecticut",4373,315,79,60,1.8,1.4
1400000US09001020600,09001020600,"Census Tract 206, Fairfield County, Connecticut",4665,316,115,63,2.5,1.3
1400000US09001020700,09001020700,"Census Tract 207, Fairfield County, Connecticut",4289,268,91,67,2.1,1.5
1400000US09001020800,09001020800,"Census Tract 208, Fairfield County, Connecticut",2869,224,122,105,4.3,3.5
1400000US09001020900,09001020900,"Census Tract 209, Fairfield County, Connecticut",4300,382,457,247,10.6,5.5
1400000US09001021000,09001021000,"Census Tract 210, Fairfield County, Connecticut",2967,202,98,79,3.3,2.7
1400000US09001021100,09001021100,"Census Tract 211, Fairfield County, Connecticut",5405,453,502,266,9.3,5.0
1400000US09001021200,09001021200,"Census Tract 212, Fairfield County, Connecticut",4454,331,87,57,2.0,1.3
1400000US09001021300,09001021300,"Census Tract 213, Fairfield County, Connecticut",4242,541,202,135,4.8,3.2
1400000US09001021400,09001021400,"Census Tract 214, Fairfield County, Connecticut",7098,724,1104,443,15.6,6.4
1400000US09001021500,09001021500,"Census Tract 215, Fairfield County, Connecticut",6864,641,1880,553,27.4,7.0
1400000US09001021600,09001021600,"Census Tract 216, Fairfield County, Connecticut",7386,758,937,567,12.7,7.4
