Id,Id2,Geography,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",9191,446,9191,,1404,215,15.3,2.4
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4858,565,4858,,1414,520,29.1,9.4
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5344,447,5344,,1415,380,26.5,6.5
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5215,525,5215,,1577,554,30.2,9.1
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2562,350,2562,,1013,277,39.5,11.3
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8456,670,8456,,1689,639,20.0,7.4
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4672,690,4672,,1464,427,31.3,8.7
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,0,,0,12,,
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5108,543,5108,,1913,558,37.5,9.3
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3172,241,3172,,927,297,29.2,9.4
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4723,523,4723,,1344,428,28.5,9.1
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5804,526,5804,,420,243,7.2,4.3
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1272,187,1272,,287,159,22.6,11.5
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3985,434,3985,,1261,386,31.6,9.9
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3776,465,3776,,631,266,16.7,7.0
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",242,157,242,,68,85,28.1,29.9
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1291,248,1291,,206,111,16.0,9.0
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6049,770,6049,,2331,650,38.5,9.0
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1470,315,1470,,477,223,32.4,14.3
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6218,589,6218,,2048,607,32.9,8.9
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7429,1248,7429,,1665,613,22.4,8.9
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",5334,485,5334,,1324,405,24.8,7.6
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4780,509,4780,,834,222,17.4,5.1
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1605,237,1605,,364,148,22.7,8.5
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",3882,521,3882,,835,343,21.5,8.4
