COUNTY,YEAR,Avg_HH_Size,Employed_Labor_Force,GQ_Pop,HH_Pop,Households,Labor_Force,Payroll_Emp,Proprietors_Emp,Total_Emp,Total_Pop,FIPS
BERGEN,2000,2.638222945,454.4,11.349,872.769,330.817,469.2,483.6,86.503,570.103,884.118,34003
BERGEN,2005,2.68188536,451.7,11.324,890.984,332.223,468.9,474.6,114.397,588.997,902.308,34003
BERGEN,2010,2.66,438.688,10.422,894.694,335.73,477.342,451.0894513,107.48791,558.5773613,905.116,34003
BERGEN,2015,2.636460761,436.6226324,10.5720815,907.5779967,341.0506666,469.4774031,483.0698787,103.01794,586.0878187,921.5615738,34003
BERGEN,2020,2.628636038,444.3607116,10.70926881,919.3550705,345.2199961,464.6026241,518.7211391,105.57669,624.2978291,936.2518097,34003
BERGEN,2025,2.645140139,446.3123122,10.84969142,931.4098845,349.5293519,463.0118549,534.2231485,107.12393,641.3470785,951.1360988,34003
BERGEN,2030,2.667805319,471.1484808,11.08453311,951.5702616,356.1379492,488.7956204,552.1865566,114.36483,666.5513866,974.536452,34003
BERGEN,2035,2.708506008,482.5178752,11.3628335,975.4614232,364.0681846,501.1559752,563.9519483,126.64381,690.5957583,1003.466764,34003
BERGEN,2040,2.765731149,505.2094906,11.66363382,1001.28413,374.096149,524.7954716,578.1283743,141.85609,719.9844643,1030.441813,34003
BRONX,2000,2.77500367,451.8,47.235,1285.415,463.212,486.6,219.7016789,49.666,269.3676789,1332.65,36005
BRONX,2005,2.813062515,465.9,47.462,1317.104,468.21,503.6,223.5,84.49,307.99,1364.566,36005
BRONX,2010,2.77,473.993,46.71,1338.398,483.449,543.429,229.4562529,109.8813,339.3375529,1385.108,36005
BRONX,2015,2.709882102,509.2565192,47.09369968,1349.664499,498.0528483,556.322311,236.4018785,128.1338,364.5356785,1396.758199,36005
BRONX,2020,2.70709212,527.716578,47.32105478,1356.180299,500.9730879,566.4758624,245.1444366,142.0576,387.2020366,1403.501354,36005
BRONX,2025,2.651822366,539.2008059,47.9874187,1375.27771,518.616076,575.2367339,253.9541772,152.9122,406.8663772,1423.265128,36005
BRONX,2030,2.615010628,550.9655476,49.05262758,1405.80567,537.5908057,588.7488865,262.9494449,161.3711,424.3205449,1454.858298,36005
BRONX,2035,2.591545694,563.3571389,50.07184633,1435.015594,553.7296128,603.536058,271.9656353,168.8172,440.7828353,1485.08744,36005
BRONX,2040,2.549981731,579.4258894,50.74786078,1454.38958,570.3529412,621.4056404,282.2511566,176.1737,458.4248566,1505.137441,36005
DUTCHESS,2000,2.632082864,134.9,18.163,261.987,99.536,139.4,112.6,23.472,136.072,280.15,36027
DUTCHESS,2005,2.696478474,142.1,18.546,275.963,102.342,147.8995159,122.3,28.621,150.921,294.509,36027
DUTCHESS,2010,2.57,132.085,19.965,277.523,107.965,143.405,113.9016074,33.8132,147.7148074,297.488,36027
DUTCHESS,2015,2.530955036,153.9623646,20.55417511,285.7128144,112.887353,163.9406727,124.5271305,37.09659,161.6237205,306.2669896,36027
DUTCHESS,2020,2.488576205,163.6154556,21.28808055,295.9144493,118.9091371,170.6257745,134.5046939,39.82921,174.3339039,317.2025298,36027
DUTCHESS,2025,2.472207773,173.0254536,22.51951924,313.032033,126.6204388,179.4299952,144.7205475,41.90565,186.6261975,335.5515523,36027
DUTCHESS,2030,2.467455049,176.7292731,23.8813975,331.9627888,134.5365092,183.3997946,153.1716832,43.52562,196.6973032,355.8441863,36027
DUTCHESS,2035,2.481376101,180.7528475,25.24376547,350.9003518,141.4136099,187.8985447,161.3478491,44.97282,206.3206691,376.1441173,36027
DUTCHESS,2040,2.506970616,188.2046545,26.54018212,368.9211601,147.1581509,195.6905542,171.3342491,46.39915,217.7333991,395.4613423,36027
ESSEX,2000,2.71676488,349.6,22.789,770.844,283.736,366.1,395.2,50.823,446.023,793.633,34013
ESSEX,2005,2.70481361,345.9,21.429,767.737,283.841,366.3,381.9,71.146,453.046,789.166,34013
ESSEX,2010,2.68,322.83,23.772,760.197,283.712,362.78,366.6764285,81.50622,448.1826485,783.969,34013
ESSEX,2015,2.688375461,372.3144106,24.47605474,782.711736,291.9210654,410.2773196,374.5186219,85.134,459.6526219,810.1869929,34013
ESSEX,2020,2.687244256,383.6243235,24.87883758,795.5921965,295.8004592,411.1382168,398.6904335,87.8206,486.5110335,825.9294093,34013
ESSEX,2025,2.712243936,389.9795193,25.28858208,808.6952813,299.4667059,414.7174048,408.0250275,88.6331,496.6581275,841.8403788,34013
ESSEX,2030,2.736940782,422.3535773,25.93798691,829.4623857,305.8495037,449.1358727,418.539873,88.143,506.682873,865.9582322,34013
ESSEX,2035,2.765978471,432.4527038,26.4501515,845.8407294,310.5012366,460.394555,425.8559861,87.5323,513.3882861,887.0018157,34013
ESSEX,2040,2.841475456,452.7898787,27.30469376,873.1678562,320.8675186,482.1113378,434.4056703,86.9987,521.4043703,916.0241039,34013
FAIRFIELD,2000,2.666581337,453.4,17.976,864.591,324.232,462.3,429.4,108.042,537.442,882.567,9001
FAIRFIELD,2005,2.717936163,437.3,18.477,882.609,324.735,457.6,416.8,139.888,556.688,901.086,9001
FAIRFIELD,2010,2.68,434.159,19.168,897.661,335.545,473.538,387.3286405,165.4597,552.7883405,916.829,9001
FAIRFIELD,2015,2.69288707,454.9341719,19.75021443,924.9268174,343.4703326,494.4936651,407.7473833,183.6667,591.4140833,944.6770319,9001
FAIRFIELD,2020,2.65686354,485.1248968,20.03441977,938.2365026,353.1368805,510.4239984,421.9788241,198.6199,620.5987241,958.2709223,9001
FAIRFIELD,2025,2.662681688,504.6258414,20.60356974,964.8904952,362.3754577,526.0606014,435.6253236,209.8609,645.4862236,985.494065,9001
FAIRFIELD,2030,2.682403533,510.0701793,21.46683304,1005.318177,374.7826024,532.310109,455.993153,218.7594,674.752553,1026.78501,9001
FAIRFIELD,2035,2.71727194,533.0384924,22.58406764,1057.639646,389.2284871,557.6588811,479.9824663,226.6852,706.6676663,1080.223714,9001
FAIRFIELD,2040,2.760927099,558.8057904,23.77110784,1113.230198,403.2088346,584.6777823,508.8939217,234.484,743.3779217,1137.001306,9001
HUDSON,2000,2.600457176,283.4,9.45,599.525,230.546,297.8,244.6,30.513,275.113,608.975,34017
HUDSON,2005,2.58907695,274.9,9.45,593.52,229.24,290.6,250.9,43.138,294.038,602.97,34017
HUDSON,2010,2.54,265.585,9.378,624.888,246.437,297.664,238.8691654,54.94856,293.8177254,634.266,34017
HUDSON,2015,2.446286759,253.307124,9.491958439,632.4814379,250.3184031,281.4678873,275.3843543,61.10819,336.4925443,644.3587248,34017
HUDSON,2020,2.474537314,279.0132786,9.898405162,659.5643639,261.8104261,301.5481304,300.0398639,66.58054,366.6204039,673.9165266,34017
HUDSON,2025,2.539529123,293.9205724,10.3059986,686.7236994,273.7695162,315.1748141,313.7044225,70.72975,384.4341725,703.5960416,34017
HUDSON,2030,2.579357348,292.4745692,10.86842525,724.200098,290.8162311,313.5876402,327.7386043,73.94283,401.6814343,744.1411757,34017
HUDSON,2035,2.62240929,299.5323415,11.27903109,751.5601597,303.3452129,321.5174463,338.4874237,77.06688,415.5543037,775.7042542,34017
HUDSON,2040,2.731762524,313.6186025,11.87939967,791.5647577,319.825525,336.6834044,350.3490417,80.24545,430.5944917,817.3199886,34017
HUNTERDON,2000,2.693415449,66.4,4.346,117.643,43.678,67.9,45.6,18.807,64.407,121.989,34019
HUNTERDON,2005,2.725428578,69.1,4.288,125.754,46.141,71.2,52.9,21.989,74.889,130.042,34019
HUNTERDON,2010,2.62,66.929,4.569,123.78,47.169,71.983,49.63076945,25.29981,74.93057945,128.349,34019
HUNTERDON,2015,2.685864751,67.48340786,4.789490016,129.7533539,49.29068962,71.78864874,52.39866401,28.34388,80.74254401,132.3654842,34019
HUNTERDON,2020,2.674825904,72.22500439,4.904865449,132.8790206,50.2146446,74.6049475,59.25526918,31.042,90.29726918,134.0755907,34019
HUNTERDON,2025,2.720765745,75.22974984,5.021376256,136.035446,51.03893036,77.20781127,64.05137459,33.1622,97.21357459,135.8323827,34019
HUNTERDON,2030,2.762742836,75.74082442,5.193825761,140.7073217,52.4111108,77.67455101,68.96894526,34.39147,103.3604153,139.0799517,34019
HUNTERDON,2035,2.860041313,77.56854401,5.503507944,149.0970045,55.2030282,79.63873598,73.55056461,34.9138,108.4643646,145.0231998,34019
HUNTERDON,2040,2.900733729,81.21639968,5.651835646,153.1153899,56.75003112,83.39529025,78.2660368,34.95805,113.2240868,148.0741211,34019
KINGS,2000,2.754573211,976.1,39.299,2426.027,880.727,1042.6,456.7609269,127.885,584.6459269,2465.326,36047
KINGS,2005,2.801051049,987.4,40.416,2470.992,882.166,1052.7,420.4,192.956,613.356,2511.408,36047
KINGS,2010,2.69,1018.022,35.609,2469.091,916.856,1133.377,468.0236726,234.2173,702.2409726,2504.7,36047
KINGS,2015,2.67046469,1078.947684,35.9626877,2493.615337,933.775813,1163.821013,489.7490109,264.5448,754.2938109,2529.578025,36047
KINGS,2020,2.648868865,1122.357855,36.54053504,2533.68267,956.51495,1187.878281,514.9901968,290.8341,805.8242968,2570.223205,36047
KINGS,2025,2.638156469,1149.729159,37.30520547,2586.704122,980.4968554,1208.689617,540.4972054,310.8458,851.3430054,2624.009327,36047
KINGS,2030,2.626778728,1179.084874,38.46269087,2666.962955,1015.297911,1240.840071,566.5330355,326.5345,893.0675355,2705.425646,36047
KINGS,2035,2.626967534,1209.993662,39.54135927,2741.756699,1043.696454,1276.130826,592.5134968,341.121,933.6344968,2781.298058,36047
KINGS,2040,2.663738251,1249.23757,39.81977427,2761.061705,1036.536418,1318.90956,621.2116333,355.5812,976.7928333,2800.88148,36047
LITCHFIELD,2000,2.511243728,101.1,2.511,179.682,71.551,103,66.2,23.915,90.115,182.193,9005
LITCHFIELD,2005,2.530146262,98.8,2.532,186.826,73.84,103.5,62.7,29.639,92.339,189.358,9005
LITCHFIELD,2010,2.44,96.314,2.804,187.123,76.64,105.655,65.41730039,33.57496,98.99226039,189.927,9005
LITCHFIELD,2015,2.442951168,98.6389324,2.92613899,195.273861,79.93359162,107.2162309,69.13005829,36.24074,105.3707983,198.2,9005
LITCHFIELD,2020,2.393846422,104.6185584,3.099306794,206.8300946,86.40073677,110.0743813,72.26669273,38.61379,110.8804827,209.9294014,9005
LITCHFIELD,2025,2.372420262,111.5656611,3.259819763,217.5418165,91.6961552,116.3045844,75.41888957,40.24339,115.6622796,220.8016363,9005
LITCHFIELD,2030,2.396733717,113.2233344,3.429423683,228.8602168,95.48837871,118.1600648,79.22137307,41.60907,120.8304431,232.2896405,9005
LITCHFIELD,2035,2.438289548,118.652591,3.648087021,243.4525634,99.84563302,124.1330074,83.40514894,42.88067,126.2858189,247.1006504,9005
LITCHFIELD,2040,2.492693822,124.5376587,3.86344088,257.8240541,103.4318984,130.3035927,88.12417353,44.147,132.2711735,261.687495,9005
MERCER,2000,2.620434475,174.3,21.092,329.669,125.807,180.2,194.4,27.423,221.823,350.761,34021
MERCER,2005,2.713172075,187.2,21.158,344.912,127.125,194.7,230.6,35.21,265.81,366.07,34021
MERCER,2010,2.61,188.013,18.805,347.708,133.155,203.947,238.3166667,42.78108,281.0977467,366.513,34021
MERCER,2015,2.682284822,183.2263383,19.75104893,365.2006232,136.1528128,196.5712284,242.7593345,46.68199,289.4413245,384.9516722,34021
MERCER,2020,2.732834913,197.6434596,20.43817332,377.905683,138.2833926,206.1972419,255.3890911,50.10337,305.4924611,398.3438563,34021
MERCER,2025,2.817186788,204.7674878,21.12866822,390.6730641,138.6748886,212.0734246,268.8714592,52.72953,321.6009892,411.8017323,34021
MERCER,2030,2.904428758,201.0986042,22.10211315,408.6722445,140.7065824,208.24526,282.6840945,54.74607,337.4301645,430.7743577,34021
MERCER,2035,3.128574411,205.9513617,23.84179368,440.839266,140.9073936,213.5112345,295.4167053,56.69621,352.1129153,464.6810597,34021
MERCER,2040,3.224014883,215.6367419,24.58818301,454.6401456,141.0167639,223.5825463,308.5220047,58.67902,367.2010247,479.2283286,34021
MIDDLESEX,2000,2.743795497,387.8,20.82,729.342,265.815,401.2,421.4,50.033,471.433,750.162,34023
MIDDLESEX,2005,2.868962196,401.4,20.82,768.463,267.854,418.6,413.9,68.747,482.647,789.283,34023
MIDDLESEX,2010,2.8,386.219,23.835,786.023,281.186,422.895,409.182939,74.06156,483.244499,809.858,34023
MIDDLESEX,2015,2.73056915,408.5703858,24.39469252,804.4803609,291.3676076,441.3781176,430.6310886,76.51317,507.1442586,831.9548371,34023
MIDDLESEX,2020,2.739368259,420.9981565,25.22188617,831.7592881,304.6135017,442.108133,463.868981,78.23708,542.106061,862.6824418,34023
MIDDLESEX,2025,2.790598329,438.7458354,26.05337607,859.1798958,318.4071967,457.3146453,481.5531031,78.24924,559.8023431,893.5725806,34023
MIDDLESEX,2030,2.820025128,448.6862218,27.22902757,897.9501547,337.1464656,467.7023927,500.3805844,77.1802,577.5607844,936.5982933,34023
MIDDLESEX,2035,2.871378664,459.5135742,28.38179575,935.9657746,355.9775074,479.5293553,515.8624557,76.0242,591.8866557,980.6110147,34023
MIDDLESEX,2040,2.957273028,481.1233545,29.59929703,976.1161423,371.6356431,502.1487254,532.6147705,74.9375,607.5522705,1023.084584,34023
MONMOUTH,2000,2.699232059,307.9,10.036,605.265,224.236,318.1,258.9,54.796,313.696,615.301,34025
MONMOUTH,2005,2.705806943,315.1,10.081,624.76,230.896,328.1,269,71.417,340.417,634.841,34025
MONMOUTH,2010,2.66,304.741,7.67,622.71,233.983,333.37,246.2337533,78.09664,324.3303933,630.38,34025
MONMOUTH,2015,2.698894251,336.8900967,7.929734042,643.7972211,240.7810416,363.4083645,241.7418506,80.60684,322.3486906,644.5564315,34025
MONMOUTH,2020,2.719498894,355.8629397,8.079718942,655.9741568,244.0274953,373.2607858,264.5066132,82.234,346.7406132,650.9049312,34025
MONMOUTH,2025,2.75629849,364.9558016,8.231838306,668.3243848,247.456703,379.890103,279.9881318,82.2929,362.2810318,657.4919661,34025
