AREA NAME,2010,2015,2020,2025,2030,2035,2040
Fairfield,,,,,,,
2448,4476,4548,4583,4654,4760,4898,5045
2449,4330,4396,4428,4493,4591,4718,4852
2450,3421,3477,3505,3560,3643,3751,3866
2451,5359,5487,5549,5674,5864,6110,6371
2452,4010,4072,4102,4163,4255,4375,4501
2453,5290,5431,5500,5638,5847,6118,6406
2454,5494,5577,5618,5700,5823,5984,6154
2455,1845,1873,1887,1914,1956,2010,2067
2456,3579,3634,3660,3714,3795,3900,4011
2457,3388,3440,3465,3516,3593,3692,3798
2458,4870,4966,5013,5107,5249,5433,5629
2459,5263,5383,5441,5558,5736,5966,6210
2460,4894,5052,5129,5283,5516,5819,6140
2461,1733,1759,1772,1798,1837,1888,1942
2462,3219,3359,3427,3564,3772,4041,4326
2463,3523,3578,3605,3658,3740,3845,3957
2464,3687,3774,3817,3903,4032,4200,4378
2465,7263,7376,7431,7542,7710,7927,8158
2466,3586,3644,3672,3729,3815,3926,4044
2467,4896,4973,5011,5087,5201,5350,5507
2468,4952,5128,5215,5387,5649,5987,6347
2469,4348,4417,4450,4517,4618,4750,4889
2470,2939,3049,3102,3210,3373,3583,3807
2471,4906,5169,5297,5554,5943,6448,6983
2472,3499,3632,3698,3828,4026,4282,4554
2473,5976,6224,6346,6588,6956,7433,7939
2474,4177,4251,4288,4361,4471,4614,4766
2475,4422,4697,4831,5100,5507,6035,6595
2476,6690,6911,7018,7234,7561,7984,8434
2477,6303,6400,6448,6543,6687,6874,7072
2478,7151,7568,7772,8180,8799,9600,10451
2479,7354,7946,8235,8814,9693,10829,12037
2480,9742,9948,10049,10250,10556,10951,11371
2481,5713,5928,6033,6243,6561,6974,7412
2482,2959,3073,3129,3240,3409,3628,3861
2483,7213,7414,7513,7710,8008,8395,8805
2484,3186,3261,3297,3370,3480,3623,3775
2485,5763,6174,6375,6777,7388,8177,9016
2486,2391,2434,2455,2497,2561,2643,2731
2487,3502,3580,3618,3694,3809,3958,4116
2488,3442,3557,3613,3725,3895,4115,4349
2489,4156,4254,4302,4398,4543,4732,4932
2490,3958,4218,4345,4598,4984,5482,6012
2491,5674,5879,5978,6178,6482,6874,7291
2492,7406,7714,7865,8166,8623,9215,9843
2493,3316,3366,3391,3440,3515,3611,3714
2494,3941,4002,4031,4091,4181,4298,4422
2495,5079,5156,5194,5269,5384,5532,5689
2496,3719,3787,3820,3886,3986,4116,4254
2497,4026,4122,4170,4264,4407,4593,4790
2498,4578,4748,4831,4997,5249,5574,5921
2499,4606,4699,4745,4836,4975,5154,5345
2500,1651,1685,1702,1736,1787,1853,1924
2501,3090,3154,3185,3248,3343,3466,3596
2502,4341,4467,4528,4652,4838,5080,5337
2503,3074,3133,3162,3219,3307,3420,3540
2504,3196,3293,3340,3435,3579,3765,3963
2505,4471,4593,4652,4771,4951,5185,5433
2506,2587,2664,2701,2777,2890,3038,3195
2507,3080,3251,3334,3501,3754,4081,4429
2508,2039,2081,2101,2142,2204,2284,2369
2509,7650,7870,7978,8194,8520,8943,9393
2510,5456,5666,5768,5973,6284,6686,7113
2511,5974,6083,6137,6244,6406,6616,6839
2512,3509,3595,3636,3720,3847,4012,4186
2513,3994,4055,4085,4145,4235,4352,4477
2514,3898,3987,4030,4117,4248,4418,4599
2515,3572,3626,3653,3706,3786,3891,4002
2516,3527,3664,3731,3865,4068,4331,4610
2517,3663,3799,3866,3999,4201,4462,4740
2518,10204,10504,10651,10945,11390,11966,12579
2519,2367,2403,2421,2456,2510,2579,2653
2520,2461,2546,2588,2671,2798,2962,3136
2521,3043,3151,3204,3309,3469,3677,3897
