PlanPortion,Infrastructure,RtpId,ProjectCategory,Description,Sponsor,Ptype,County,Year,EstimatedCost,Geography
Vision,Roadways,MHSWC776V,MISCELLANEOUS,TAPPAN ZEE BRIDGE TRUCK INSPECTION CHECKPOINTS,NYSDOT,Study,Westchester,,,POINT (-73.867359 41.067507)
Vision,Roadways,NYCM270V,BRIDGE,HHP- 151ST ST. PED BR. FT WASHINGT. PK ACCESS IMPROV.,NYSDOT,Highway,New York,,,POINT (-73.951049 40.831526)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.99812 40.750881)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.995286 40.74967)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.993466 40.752201)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.996302 40.753393)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.989773 40.75722)
Vision,Roadways,NYCM266V,MOBILITY,"BUS HOT SPOTS ON 30TH, 34TH, 42ND STREETS AND ON 8TH AND 9TH AVE",NYCDOT,Highway,New York,,,POINT (-73.992618 40.758419)
Vision,Transit,NYCM277V,TRANSIT,FERRY ACCESS PLANNING -  125TH STREET AREA,NYCDOT,Ferry,New York,,,POINT (-73.96112 40.818765)
Vision,Transit,NYCM278V,TRANSIT,FERRY ACCESS PLANNING -  W. 69TH STREET AREA DEVLOPMENT,NYCDOT,Ferry,New York,,,POINT (-73.989118 40.779169)
Vision,Transit,NYCM279V,TRANSIT,MIDTOWN WEST INTERMODAL FERRY TERMINAL IMPROVEMENTS,NYCDOT,Ferry,New York,,,POINT (-74.003269 40.760434)
Vision,Transit,NYCM282V,TRANSIT,ST. GEORGE AND WHITEHALL TERMINAL IMPROVEMENTS,NYCDOT,Ferry,New York,,,POINT (-74.013017 40.700999)
Vision,Transit,NYCM280V,TRANSIT,PIER 79- MIDTOWN WEST INTERMODAL FERRY IMPROVEMENTS,NYCDOT,Ferry,New York,,,POINT (-74.003269 40.760434)
Vision,Roadways,NYCBX36V,MOBILITY,BUS HOT SPOT  AT 161ST  ST. AND MAJOR DEEGAN,NYCDOT,Highway,Bronx,,,POINT (-73.931365 40.829592)
Vision,Roadways,NYCBX44V,RECONSTRUCTION,FORDHAM PLAZA RECONSTRUCTION- PUBLIC PLAZA INITIATIVE PROGRAM,NYCDOT,Highway,Bronx,,,POINT (-73.891163 40.861201)
Vision,Roadways,NYCBX49V,RECONSTRUCTION,RECONSTRUCTION OF FORDHAM AND KINGSBRIDGE,NYCDOT,Highway,Bronx,,,POINT (-73.89356 40.861934)
Vision,Roadways,NYCBX50V,RECONSTRUCTION,RECONSTRUCTION OF STICKBALL BLVD. AND LAFAYETTE STREET AREA,NYCDOT,Highway,Bronx,,,POINT (-73.857221 40.822152)
Vision,Transit,NYCSI491V,TRANSIT,FAST FERRY SERVICE (MT. LORRETTO),NYCDOT,Ferry,Richmond,,,POINT (-74.221651 40.502508)
Vision,Transit,NYCSI494V,TRANSIT,PIER DEVELOPMENT FOR FERRY - RARITAN BAY,NYCDOT,Ferry,Richmond,,,POINT (-74.170201 40.523047)
Vision,Transit,NYCSI495V,TRANSIT,ST. GEORGE TERMINAL IMPROVEMENTS,NYCDOT,Ferry,Richmond,,,POINT (-74.072592 40.643765)
Vision,Roadways,NYCBK147V,RECONSTRUCTION,EASTERN PARKWAY/UTICA AVE. ROADWAY RECONSTRUCTION,NYCDOT,Highway,Kings,,,POINT (-73.93112 40.668806)
Vision,Roadways,NYCBK156V,RECONDITION & PRESERVATION,REHABILITATION OF 3RD STREET BRIDGE OVER GOWANUS CANAL,NYCDOT,Highway,Kings,,,POINT (-73.9902 40.676158)
Vision,Roadways,NYCBK134V,SAFETY,ATLANTIC AVE. SAFETY IMPROVEMENT CORRIDORS IN ADJOINING AREAS IN BROOKLYN AND QUEENS,NYCDOT,Highway,Kings,,,POINT (-73.866292 40.683192)
Vision,Roadways,NYCBK148V,STUDY,FULTON ST. - NOSTRAND AVE. CONGESTION STUDY,NYCDOT,Study,Kings,,,POINT (-73.949557 40.680398)
Vision,Other,NYCBK186V,STUDY,CROSS HARBOR EIS RECOMMENDATIONS,PANY&NJ,Study,Kings,,,POINT (-74.022973 40.6514)
Vision,Transit,NYCBK163V,TRANSIT,BAY RIDGE – MANHATTAN FERRY SERVICE,NYCDOT,Ferry,Kings,,,POINT (-74.021582 40.652463)
Vision,Transit,NYCBK164V,TRANSIT,BROADWAY JUNCTION TRANSIT EMPHASIS AREA/SUBWAY-SIDEWALK INTERFACE INITIATIVE,NYCDOT,Transit,Kings,,,POINT (-73.897868 40.679554)
Vision,Transit,NYCBK169V,TRANSIT,COMMUTER VAN SERVICE DEVELOPMENT - FLATLANDS AVE/ROCKAWAY PARKWAY,NYCDOT,Transit,Kings,,,POINT (-73.900672 40.643664)
Vision,Transit,NYCBK170V,TRANSIT,CONEY ISLAND – SOUTH BROOKLYN FERRY SERVICE,NYCDOT,Ferry,Kings,,,POINT (-73.961222 40.575009)
Vision,Roadways,NSSC662V,MISCELLANEOUS,NY 25 - MT. SINAI - CORAM RD TO EDWARDS AVE: SMARTH GROWTH; LOCAL & PRIVATE DEVELOPER - PROVIDED ENHANCEMENTS,NYSDOT,Study,Suffolk,,,POINT (-73.011699 40.934903)
Vision,Other,NSSC682V,MISCELLANEOUS,YAPHANK DEVELOPMENT ZONE,SUFFOLK,Study,Suffolk,,,POINT (-72.943941 40.815669)
Vision,Roadways,NSSC667V,MOBILITY,NY 27 - OAKDALE MERGE -RAMP METERING,NYSDOT,Highway,Suffolk,,,POINT (-73.149466 40.747954)
Vision,Transit,NSSC677V,SHOP & YARD,BABYLON/MONTAUK BRANCH ELECTRIC TRAIN STORAGE YARD,MTA/LIRR,Rail,Suffolk,,,POINT (-71.953637 41.047301)
Vision,Transit,NSSC675V,SHOP & YARD,HUNTINGTON/PORT JEFFERSON BRANCH ELECTRIC TRAIN STORAGE YARD,MTA/LIRR,Rail,Suffolk,,,POINT (-73.041788 40.933495)
Vision,Transit,NSSC678V,STATIONS,SUFFOLK COUNTY CONNECT LI: RONKONKOMA HUB FOR TOD STATION,TOWN OF ISLIP & BROOKHAVEN,Rail,Suffolk,,,POINT (-73.10599 40.808101)
Vision,Roadways,NSSC666V,TRAFFIC,NY 27 - OAKDALE MERGE -OPERATIONAL IMPROVEMENTS (MAINLINE AND RAMP),NYSDOT,Highway,Suffolk,,,POINT (-73.149466 40.747954)
Vision,Roadways,NSNC627V,RECONSTRUCTION,MSP S & N 24 - INTERCHANGE RECONSTRUCTION TO SUPPORT ECONOMIC DEVELOPMENTS; PUBLIC -PRIVATE FINANCING,NYSDOT,Highway,Nassau,,,POINT (-73.580447 40.722164)
Vision,Roadways,NSNC626V,RECONSTRUCTION,MSP S & N- BOUND @ NY 24: INTERCHANGE RECONSTRUCTION,NYSDOT,Highway,Nassau,,,POINT (-73.580447 40.722164)
Vision,Other,NYCQ2004V,STUDY,RIDERSHIP POTENTIAL AT SUNNYSIDE STUDY,MTA,Study,Queens,,,POINT (-73.935258 40.746872)
Vision,Other,NYCSI2006V,MOBILITY,HOWLAND HOOK ACCESS IMPROVEMENT PROJECT,PA NY&NJ,Highway,Richmond,,,POINT (-74.18557 40.629793)
Vision,Other,MHSRC1918V,STUDY,THRUWAY EXIT 10 ECONOMIC DEVELOPMENT/LID PARK,THRUWAY/NYSDOT/SOUTH NYACK,Study,Rockland,,,POINT (-73.922661 41.081387)
Vision,Other,MHSPC2010V,Study,MTA MNR Southeast Station Improvements,MTA MNR,Study,Putnam,,,POINT (-73.623728 41.415159)
Vision,Roadways,NSNC631V,RECONSTRUCTION,SSP - PENINSULA BLVD - RECONSTRUCT INTERCHANGES TO DIAMONDS,NYSDOT,Highway,Nassau,,,POINT (-73.632741 40.690143)
Vision,Roadways,NSNC625V,STUDY,MSP OLD COUNTRY RD: STUDY (DEMAND MANAGEMENT & CONGESTION PRICING),NYSDOT,Study,Nassau,,,POINT (-73.611645 40.743658)
Constrained,Transit,NYCQ1778C,TRACK,JAMAICA CAPACITY IMPROVEMENTS - PHASE 2 (RECONFIGURATION OF JAY & HALL INTERLOCKINGS),MTA/LIRR,Rail,Queens,2019,$200.00 million,POINT (-73.808397 40.699631)
