area,size
2440,9.497484
2438,16.131416
2433,36.044067
2437,30.851889
2442,49.912876
2428,38.398575
2439,20.517242
2434,43.308331
2425,41.224743
2441,26.704504
2431,12.849675
3287,42.858261
3308,0.474003
3302,20.781084
3303,0.436684
3294,83.917709
3300,82.509254
3282,33.595779
2627,9.644641
2646,15.196475
2628,6.396334
2514,1.509767
2513,0.547326
2506,0.689777
2525,1.407757
2507,0.560015
2508,0.458061
2499,0.945829
2515,1.043207
2517,1.287717
2516,0.41105
2624,3.806758
2648,7.922027
2625,8.856916
2623,2.151871
2496,2.384238
2521,3.016228
2498,1.582736
2520,2.677109
2519,4.246148
2518,16.971109
2497,1.147393
2505,0.539994
2653,18.332869
2652,13.126753
2614,15.142154
2613,12.243596
2528,13.341163
2495,7.66287
2254,7.757223
2657,4.838064
2656,5.236352
1923,8.146259
1921,1.996508
1988,7.85215
1859,5.724282
1919,2.344394
1916,1.194298
1918,0.845722
1864,2.231463
1865,2.211685
1875,2.753046
1872,1.368352
1870,0.623351
1866,3.481725
1869,7.391687
1927,4.253486
1882,3.438033
1868,0.496215
1913,1.233022
1912,1.203253
1847,0.747628
1911,0.952868
1876,0.420987
1874,1.197747
1879,1.195541
1914,0.881164
1896,4.436435
1886,1.053299
1891,7.886104
1887,2.320258
1894,10.958646
1893,0.748405
1892,3.422285
1895,0.337693
1840,4.090142
1877,1.048164
1897,3.27119
1890,2.193175
1888,3.139787
1899,0.630177
1900,1.648025
3312,47.528603
3298,49.05722
3290,16.352449
3314,3.65186
3299,5.302729
3285,0.980709
3310,0.694372
3291,0.550145
3283,0.722126
3313,0.723631
3353,24.746374
3358,19.367392
3344,30.98069
3351,18.474861
2345,19.967199
2341,31.379562
2344,2.977143
2325,0.76885
2328,0.36238
2327,1.435854
2349,35.109642
2676,2.088997
2679,2.529566
2675,4.917279
2732,11.289931
3038,0.66928
3037,0.575269
3036,0.604092
3051,0.832153
3050,0.645994
3064,0.75162
3063,0.808053
2735,2.745231
2746,2.958404
2738,8.431659
3220,18.760092
3213,3.49403
3206,1.036698
3134,6.030652
3225,8.346926
3216,5.216338
3207,21.971352
3217,12.022689
3226,2.816583
3218,37.978748
3227,2.321934
3209,0.846415
3215,42.153118
3224,40.919079
3214,1.570481
3305,39.988171
3293,99.943718
3279,46.81036
3354,11.785906
3352,19.813868
3346,22.906691
2326,1.177521
2343,3.788398
2350,34.67506
2376,53.958679
2363,23.86272
2352,5.159197
2351,4.085394
2374,19.532732
2375,10.651352
2689,1.503452
2720,6.045047
2673,2.651003
2677,5.161937
2717,2.71973
2742,3.991906
2733,1.155347
3191,4.574728
3196,2.785123
3203,5.996637
3127,1.338019
3188,32.406166
3202,19.655289
3205,13.409379
3221,11.999329
3256,30.569502
3261,36.71785
3572,15.635233
3245,38.492027
3268,1.953918
3341,20.518894
3385,68.234383
2745,75.340225
2377,4.35469
2378,11.899981
2379,20.600489
2710,1.729024
2664,0.759938
2683,4.114905
2690,1.524557
2719,0.51669
2722,1.110831
2685,1.505745
2691,2.260498
2694,1.286078
2706,10.470509
2714,1.044117
2744,23.787224
3123,6.255232
3173,12.060212
3148,9.327724
3133,3.673898
3140,6.046148
3184,23.967369
3170,30.404701
3367,20.82155
3382,1.870433
3171,0.764526
3179,21.323765
3371,16.115582
