Id2,Geography,HC01_EST_VC01,HC02_EST_VC01
1400000US09001010101,"Census Tract 101.01, Fairfield County, Connecticut",3853,351
1400000US09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4360,192
1400000US09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3206,252
1400000US09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5264,369
1400000US09001010300,"Census Tract 103, Fairfield County, Connecticut",3873,174
1400000US09001010400,"Census Tract 104, Fairfield County, Connecticut",5867,326
1400000US09001010500,"Census Tract 105, Fairfield County, Connecticut",6148,541
1400000US09001010600,"Census Tract 106, Fairfield County, Connecticut",1988,173
1400000US09001010700,"Census Tract 107, Fairfield County, Connecticut",3643,309
1400000US09001010800,"Census Tract 108, Fairfield County, Connecticut",3688,146
1400000US09001010900,"Census Tract 109, Fairfield County, Connecticut",5304,240
1400000US09001011000,"Census Tract 110, Fairfield County, Connecticut",5389,237
1400000US09001011100,"Census Tract 111, Fairfield County, Connecticut",4530,268
1400000US09001011200,"Census Tract 112, Fairfield County, Connecticut",1599,98
1400000US09001011300,"Census Tract 113, Fairfield County, Connecticut",3304,276
1400000US09001020100,"Census Tract 201, Fairfield County, Connecticut",5006,737
1400000US09001020200,"Census Tract 202, Fairfield County, Connecticut",3637,135
1400000US09001020300,"Census Tract 203, Fairfield County, Connecticut",7038,106
1400000US09001020400,"Census Tract 204, Fairfield County, Connecticut",3809,123
1400000US09001020500,"Census Tract 205, Fairfield County, Connecticut",4903,92
1400000US09001020600,"Census Tract 206, Fairfield County, Connecticut",5291,21
1400000US09001020700,"Census Tract 207, Fairfield County, Connecticut",4150,148
1400000US09001020800,"Census Tract 208, Fairfield County, Connecticut",2838,18
1400000US09001020900,"Census Tract 209, Fairfield County, Connecticut",4861,284
1400000US09001021000,"Census Tract 210, Fairfield County, Connecticut",3662,156
1400000US09001021100,"Census Tract 211, Fairfield County, Connecticut",6067,503
1400000US09001021200,"Census Tract 212, Fairfield County, Connecticut",4180,53
1400000US09001021300,"Census Tract 213, Fairfield County, Connecticut",4475,167
1400000US09001021400,"Census Tract 214, Fairfield County, Connecticut",7123,1335
1400000US09001021500,"Census Tract 215, Fairfield County, Connecticut",6291,1337
1400000US09001021600,"Census Tract 216, Fairfield County, Connecticut",7482,943
1400000US09001021700,"Census Tract 217, Fairfield County, Connecticut",7077,859
1400000US09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4494,449
1400000US09001021802,"Census Tract 218.02, Fairfield County, Connecticut",5189,423
1400000US09001021900,"Census Tract 219, Fairfield County, Connecticut",5941,345
1400000US09001022000,"Census Tract 220, Fairfield County, Connecticut",3232,147
1400000US09001022100,"Census Tract 221, Fairfield County, Connecticut",7710,1111
1400000US09001022200,"Census Tract 222, Fairfield County, Connecticut",5926,1028
1400000US09001022300,"Census Tract 223, Fairfield County, Connecticut",5568,1283
1400000US09001022400,"Census Tract 224, Fairfield County, Connecticut",2241,81
1400000US09001030100,"Census Tract 301, Fairfield County, Connecticut",3742,86
1400000US09001030200,"Census Tract 302, Fairfield County, Connecticut",3470,157
1400000US09001030300,"Census Tract 303, Fairfield County, Connecticut",4254,46
1400000US09001030400,"Census Tract 304, Fairfield County, Connecticut",4455,203
1400000US09001030500,"Census Tract 305, Fairfield County, Connecticut",5838,177
1400000US09001035100,"Census Tract 351, Fairfield County, Connecticut",7837,242
1400000US09001035200,"Census Tract 352, Fairfield County, Connecticut",3134,97
1400000US09001035300,"Census Tract 353, Fairfield County, Connecticut",3954,48
1400000US09001035400,"Census Tract 354, Fairfield County, Connecticut",5275,214
1400000US09001042500,"Census Tract 425, Fairfield County, Connecticut",3936,293
1400000US09001042600,"Census Tract 426, Fairfield County, Connecticut",4046,93
1400000US09001042700,"Census Tract 427, Fairfield County, Connecticut",4852,126
1400000US09001042800,"Census Tract 428, Fairfield County, Connecticut",4542,449
1400000US09001042900,"Census Tract 429, Fairfield County, Connecticut",1598,65
1400000US09001043000,"Census Tract 430, Fairfield County, Connecticut",2992,303
1400000US09001043100,"Census Tract 431, Fairfield County, Connecticut",4642,286
1400000US09001043200,"Census Tract 432, Fairfield County, Connecticut",3066,190
1400000US09001043300,"Census Tract 433, Fairfield County, Connecticut",3164,179
1400000US09001043400,"Census Tract 434, Fairfield County, Connecticut",4280,487
1400000US09001043500,"Census Tract 435, Fairfield County, Connecticut",2394,110
1400000US09001043600,"Census Tract 436, Fairfield County, Connecticut",3136,221
1400000US09001043700,"Census Tract 437, Fairfield County, Connecticut",2436,500
1400000US09001043800,"Census Tract 438, Fairfield County, Connecticut",7057,471
1400000US09001043900,"Census Tract 439, Fairfield County, Connecticut",6190,618
1400000US09001044000,"Census Tract 440, Fairfield County, Connecticut",6139,1203
1400000US09001044100,"Census Tract 441, Fairfield County, Connecticut",2975,644
1400000US09001044200,"Census Tract 442, Fairfield County, Connecticut",3988,465
1400000US09001044300,"Census Tract 443, Fairfield County, Connecticut",4540,267
1400000US09001044400,"Census Tract 444, Fairfield County, Connecticut",4143,686
1400000US09001044500,"Census Tract 445, Fairfield County, Connecticut",4200,695
1400000US09001044600,"Census Tract 446, Fairfield County, Connecticut",3528,153
1400000US09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4094,73
1400000US09001045102,"Census Tract 451.02, Fairfield County, Connecticut",5902,298
1400000US09001045200,"Census Tract 452, Fairfield County, Connecticut",2420,59
1400000US09001045300,"Census Tract 453, Fairfield County, Connecticut",2504,58
1400000US09001045400,"Census Tract 454, Fairfield County, Connecticut",3402,31
1400000US09001050100,"Census Tract 501, Fairfield County, Connecticut",4310,161
1400000US09001050200,"Census Tract 502, Fairfield County, Connecticut",4002,119
1400000US09001050300,"Census Tract 503, Fairfield County, Connecticut",8799,372
1400000US09001050400,"Census Tract 504, Fairfield County, Connecticut",2240,96
