GEO.id,Geography,HC01_VC43,HC01_VC49
1400000US09001010101,"Census Tract 101.01, Fairfield County, Connecticut",4157,3602
1400000US09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4377,3722
1400000US09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3378,3008
1400000US09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5289,4485
1400000US09001010300,"Census Tract 103, Fairfield County, Connecticut",3880,3430
1400000US09001010400,"Census Tract 104, Fairfield County, Connecticut",5867,4853
1400000US09001010500,"Census Tract 105, Fairfield County, Connecticut",6148,4812
1400000US09001010600,"Census Tract 106, Fairfield County, Connecticut",1993,1465
1400000US09001010700,"Census Tract 107, Fairfield County, Connecticut",3643,2851
1400000US09001010800,"Census Tract 108, Fairfield County, Connecticut",3706,3177
1400000US09001010900,"Census Tract 109, Fairfield County, Connecticut",5304,4137
1400000US09001011000,"Census Tract 110, Fairfield County, Connecticut",5399,4752
1400000US09001011100,"Census Tract 111, Fairfield County, Connecticut",4530,4014
1400000US09001011200,"Census Tract 112, Fairfield County, Connecticut",1599,1433
1400000US09001011300,"Census Tract 113, Fairfield County, Connecticut",3304,2463
1400000US09001020100,"Census Tract 201, Fairfield County, Connecticut",5006,2810
1400000US09001020200,"Census Tract 202, Fairfield County, Connecticut",3637,3128
1400000US09001020300,"Census Tract 203, Fairfield County, Connecticut",7172,6570
1400000US09001020400,"Census Tract 204, Fairfield County, Connecticut",3809,2918
1400000US09001020500,"Census Tract 205, Fairfield County, Connecticut",5045,4400
1400000US09001020600,"Census Tract 206, Fairfield County, Connecticut",5291,4016
1400000US09001020700,"Census Tract 207, Fairfield County, Connecticut",4150,3597
1400000US09001020800,"Census Tract 208, Fairfield County, Connecticut",2877,2338
1400000US09001020900,"Census Tract 209, Fairfield County, Connecticut",4898,3680
1400000US09001021000,"Census Tract 210, Fairfield County, Connecticut",3681,2816
1400000US09001021100,"Census Tract 211, Fairfield County, Connecticut",6067,4527
1400000US09001021200,"Census Tract 212, Fairfield County, Connecticut",4180,3371
1400000US09001021300,"Census Tract 213, Fairfield County, Connecticut",4527,2952
1400000US09001021400,"Census Tract 214, Fairfield County, Connecticut",7164,3317
1400000US09001021500,"Census Tract 215, Fairfield County, Connecticut",6312,1804
1400000US09001021600,"Census Tract 216, Fairfield County, Connecticut",7487,3264
1400000US09001021700,"Census Tract 217, Fairfield County, Connecticut",7077,3994
1400000US09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4519,2943
1400000US09001021802,"Census Tract 218.02, Fairfield County, Connecticut",5344,2579
1400000US09001021900,"Census Tract 219, Fairfield County, Connecticut",5941,3766
1400000US09001022000,"Census Tract 220, Fairfield County, Connecticut",3232,1934
1400000US09001022100,"Census Tract 221, Fairfield County, Connecticut",7843,3779
1400000US09001022200,"Census Tract 222, Fairfield County, Connecticut",5958,3305
1400000US09001022300,"Census Tract 223, Fairfield County, Connecticut",5568,2127
1400000US09001022400,"Census Tract 224, Fairfield County, Connecticut",2241,2076
1400000US09001030100,"Census Tract 301, Fairfield County, Connecticut",3742,3623
1400000US09001030200,"Census Tract 302, Fairfield County, Connecticut",3470,3189
1400000US09001030300,"Census Tract 303, Fairfield County, Connecticut",4254,4093
1400000US09001030400,"Census Tract 304, Fairfield County, Connecticut",4455,3872
1400000US09001030500,"Census Tract 305, Fairfield County, Connecticut",5838,5221
1400000US09001035100,"Census Tract 351, Fairfield County, Connecticut",7870,7176
1400000US09001035200,"Census Tract 352, Fairfield County, Connecticut",3134,2931
1400000US09001035300,"Census Tract 353, Fairfield County, Connecticut",3971,3596
1400000US09001035400,"Census Tract 354, Fairfield County, Connecticut",5298,4968
1400000US09001042500,"Census Tract 425, Fairfield County, Connecticut",3936,3326
1400000US09001042600,"Census Tract 426, Fairfield County, Connecticut",4046,3371
1400000US09001042700,"Census Tract 427, Fairfield County, Connecticut",4977,3759
1400000US09001042800,"Census Tract 428, Fairfield County, Connecticut",4628,3836
1400000US09001042900,"Census Tract 429, Fairfield County, Connecticut",1598,1469
1400000US09001043000,"Census Tract 430, Fairfield County, Connecticut",2992,2528
1400000US09001043100,"Census Tract 431, Fairfield County, Connecticut",4653,3839
1400000US09001043200,"Census Tract 432, Fairfield County, Connecticut",3089,2284
1400000US09001043300,"Census Tract 433, Fairfield County, Connecticut",3164,2164
1400000US09001043400,"Census Tract 434, Fairfield County, Connecticut",4339,2982
1400000US09001043500,"Census Tract 435, Fairfield County, Connecticut",2394,2022
1400000US09001043600,"Census Tract 436, Fairfield County, Connecticut",3136,2288
1400000US09001043700,"Census Tract 437, Fairfield County, Connecticut",2455,1668
1400000US09001043800,"Census Tract 438, Fairfield County, Connecticut",7211,4559
1400000US09001043900,"Census Tract 439, Fairfield County, Connecticut",6190,4500
1400000US09001044000,"Census Tract 440, Fairfield County, Connecticut",6185,3949
1400000US09001044100,"Census Tract 441, Fairfield County, Connecticut",2982,1916
1400000US09001044200,"Census Tract 442, Fairfield County, Connecticut",3988,2683
1400000US09001044300,"Census Tract 443, Fairfield County, Connecticut",4540,3821
1400000US09001044400,"Census Tract 444, Fairfield County, Connecticut",4175,2415
1400000US09001044500,"Census Tract 445, Fairfield County, Connecticut",4208,2238
1400000US09001044600,"Census Tract 446, Fairfield County, Connecticut",3550,3521
1400000US09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4094,3686
1400000US09001045102,"Census Tract 451.02, Fairfield County, Connecticut",6053,5367
1400000US09001045200,"Census Tract 452, Fairfield County, Connecticut",2450,2141
1400000US09001045300,"Census Tract 453, Fairfield County, Connecticut",2543,2235
1400000US09001045400,"Census Tract 454, Fairfield County, Connecticut",3402,2858
1400000US09001050100,"Census Tract 501, Fairfield County, Connecticut",4332,3953
1400000US09001050200,"Census Tract 502, Fairfield County, Connecticut",4005,3389
1400000US09001050300,"Census Tract 503, Fairfield County, Connecticut",8850,7904
1400000US09001050400,"Census Tract 504, Fairfield County, Connecticut",2366,2064
1400000US09001050500,"Census Tract 505, Fairfield County, Connecticut",4818,4425
1400000US09001050600,"Census Tract 506, Fairfield County, Connecticut",3469,3172
1400000US09001055100,"Census Tract 551, Fairfield County, Connecticut",5511,4748
1400000US09001055200,"Census Tract 552, Fairfield County, Connecticut",4777,4468
1400000US09001060100,"Census Tract 601, Fairfield County, Connecticut",4413,3857
1400000US09001060200,"Census Tract 602, Fairfield County, Connecticut",4486,3977
1400000US09001060300,"Census Tract 603, Fairfield County, Connecticut",3968,3771
1400000US09001060400,"Census Tract 604, Fairfield County, Connecticut",4416,4233
1400000US09001060500,"Census Tract 605, Fairfield County, Connecticut",2782,2627
1400000US09001060600,"Census Tract 606, Fairfield County, Connecticut",2402,2183
1400000US09001060700,"Census Tract 607, Fairfield County, Connecticut",8027,7237
1400000US09001060800,"Census Tract 608, Fairfield County, Connecticut",2172,2005
1400000US09001060900,"Census Tract 609, Fairfield County, Connecticut",2582,2428
1400000US09001061000,"Census Tract 610, Fairfield County, Connecticut",3968,3442
1400000US09001061100,"Census Tract 611, Fairfield County, Connecticut",3824,3694
1400000US09001061200,"Census Tract 612, Fairfield County, Connecticut",2416,1803
1400000US09001061300,"Census Tract 613, Fairfield County, Connecticut",2943,2379
1400000US09001061400,"Census Tract 614, Fairfield County, Connecticut",3057,2131
1400000US09001061500,"Census Tract 615, Fairfield County, Connecticut",4827,4181
1400000US09001061600,"Census Tract 616, Fairfield County, Connecticut",5315,5113
1400000US09001070100,"Census Tract 701, Fairfield County, Connecticut",5276,4164
1400000US09001070200,"Census Tract 702, Fairfield County, Connecticut",3779,1669
1400000US09001070300,"Census Tract 703, Fairfield County, Connecticut",1403,539
1400000US09001070400,"Census Tract 704, Fairfield County, Connecticut",1459,815
1400000US09001070500,"Census Tract 705, Fairfield County, Connecticut",2065,747
1400000US09001070600,"Census Tract 706, Fairfield County, Connecticut",2432,1025
1400000US09001070900,"Census Tract 709, Fairfield County, Connecticut",2850,887
1400000US09001071000,"Census Tract 710, Fairfield County, Connecticut",3785,1025
1400000US09001071100,"Census Tract 711, Fairfield County, Connecticut",4616,1641
1400000US09001071200,"Census Tract 712, Fairfield County, Connecticut",5829,1824
1400000US09001071300,"Census Tract 713, Fairfield County, Connecticut",2843,929
1400000US09001071400,"Census Tract 714, Fairfield County, Connecticut",3443,1740
1400000US09001071600,"Census Tract 716, Fairfield County, Connecticut",2562,910
1400000US09001071900,"Census Tract 719, Fairfield County, Connecticut",5177,1922
1400000US09001072000,"Census Tract 720, Fairfield County, Connecticut",3573,1677
1400000US09001072100,"Census Tract 721, Fairfield County, Connecticut",5887,3337
1400000US09001072200,"Census Tract 722, Fairfield County, Connecticut",3888,2292
1400000US09001072300,"Census Tract 723, Fairfield County, Connecticut",5583,2825
1400000US09001072400,"Census Tract 724, Fairfield County, Connecticut",2603,957
1400000US09001072500,"Census Tract 725, Fairfield County, Connecticut",5662,3399
1400000US09001072600,"Census Tract 726, Fairfield County, Connecticut",7687,5121
1400000US09001072700,"Census Tract 727, Fairfield County, Connecticut",3995,1581
1400000US09001072800,"Census Tract 728, Fairfield County, Connecticut",5482,1517
1400000US09001072900,"Census Tract 729, Fairfield County, Connecticut",4675,1125
1400000US09001073000,"Census Tract 730, Fairfield County, Connecticut",2072,948
1400000US09001073100,"Census Tract 731, Fairfield County, Connecticut",6023,2552
1400000US09001073200,"Census Tract 732, Fairfield County, Connecticut",2600,1425
1400000US09001073300,"Census Tract 733, Fairfield County, Connecticut",3579,1010
1400000US09001073400,"Census Tract 734, Fairfield County, Connecticut",4145,1358
1400000US09001073500,"Census Tract 735, Fairfield County, Connecticut",3389,996
1400000US09001073600,"Census Tract 736, Fairfield County, Connecticut",2623,799
1400000US09001073700,"Census Tract 737, Fairfield County, Connecticut",4401,1489
1400000US09001073800,"Census Tract 738, Fairfield County, Connecticut",2240,579
1400000US09001073900,"Census Tract 739, Fairfield County, Connecticut",3649,877
1400000US09001074000,"Census Tract 740, Fairfield County, Connecticut",1802,611
1400000US09001074300,"Census Tract 743, Fairfield County, Connecticut",4685,786
1400000US09001074400,"Census Tract 744, Fairfield County, Connecticut",4724,714
1400000US09001080100,"Census Tract 801, Fairfield County, Connecticut",5052,3101
1400000US09001080200,"Census Tract 802, Fairfield County, Connecticut",4355,2446
1400000US09001080400,"Census Tract 804, Fairfield County, Connecticut",6057,1830
1400000US09001080500,"Census Tract 805, Fairfield County, Connecticut",3124,3028
1400000US09001080600,"Census Tract 806, Fairfield County, Connecticut",2557,1979
1400000US09001080700,"Census Tract 807, Fairfield County, Connecticut",2081,1818
1400000US09001080800,"Census Tract 808, Fairfield County, Connecticut",4709,3895
1400000US09001080900,"Census Tract 809, Fairfield County, Connecticut",4826,4046
1400000US09001081000,"Census Tract 810, Fairfield County, Connecticut",4081,3178
1400000US09001081100,"Census Tract 811, Fairfield County, Connecticut",4955,4408
1400000US09001081200,"Census Tract 812, Fairfield County, Connecticut",5250,4015
1400000US09001081300,"Census Tract 813, Fairfield County, Connecticut",5232,4610
1400000US09001090100,"Census Tract 901, Fairfield County, Connecticut",3489,3198
1400000US09001090200,"Census Tract 902, Fairfield County, Connecticut",7914,6809
1400000US09001090300,"Census Tract 903, Fairfield County, Connecticut",4644,4286
1400000US09001090400,"Census Tract 904, Fairfield County, Connecticut",6691,4967
1400000US09001090500,"Census Tract 905, Fairfield County, Connecticut",4732,4088
1400000US09001090600,"Census Tract 906, Fairfield County, Connecticut",3283,3038
1400000US09001090700,"Census Tract 907, Fairfield County, Connecticut",5421,4651
1400000US09001100100,"Census Tract 1001, Fairfield County, Connecticut",5878,5280
1400000US09001100200,"Census Tract 1002, Fairfield County, Connecticut",7167,6153
1400000US09001100300,"Census Tract 1003, Fairfield County, Connecticut",6576,6045
1400000US09001105100,"Census Tract 1051, Fairfield County, Connecticut",4057,3950
1400000US09001105200,"Census Tract 1052, Fairfield County, Connecticut",3501,3262
1400000US09001110100,"Census Tract 1101, Fairfield County, Connecticut",2602,2350
