GEO.id,Id2,Geography,HC01_VC77,HC01_VC78
1400000US09001010101,9001010101,"Census Tract 101.01, Fairfield County, Connecticut",4272,3782
1400000US09001010102,9001010102,"Census Tract 101.02, Fairfield County, Connecticut",4367,3798
1400000US09001010201,9001010201,"Census Tract 102.01, Fairfield County, Connecticut",3213,2812
1400000US09001010202,9001010202,"Census Tract 102.02, Fairfield County, Connecticut",5365,4424
1400000US09001010300,9001010300,"Census Tract 103, Fairfield County, Connecticut",4048,3678
1400000US09001010400,9001010400,"Census Tract 104, Fairfield County, Connecticut",5820,4867
1400000US09001010500,9001010500,"Census Tract 105, Fairfield County, Connecticut",5912,4672
1400000US09001010600,9001010600,"Census Tract 106, Fairfield County, Connecticut",1868,1278
1400000US09001010700,9001010700,"Census Tract 107, Fairfield County, Connecticut",3837,3080
1400000US09001010800,9001010800,"Census Tract 108, Fairfield County, Connecticut",3655,3156
1400000US09001010900,9001010900,"Census Tract 109, Fairfield County, Connecticut",5353,4294
1400000US09001011000,9001011000,"Census Tract 110, Fairfield County, Connecticut",5374,4770
1400000US09001011100,9001011100,"Census Tract 111, Fairfield County, Connecticut",4518,4102
1400000US09001011200,9001011200,"Census Tract 112, Fairfield County, Connecticut",1636,1550
1400000US09001011300,9001011300,"Census Tract 113, Fairfield County, Connecticut",3544,2533
1400000US09001020100,9001020100,"Census Tract 201, Fairfield County, Connecticut",4651,2545
1400000US09001020200,9001020200,"Census Tract 202, Fairfield County, Connecticut",3662,3212
1400000US09001020300,9001020300,"Census Tract 203, Fairfield County, Connecticut",7230,6598
1400000US09001020400,9001020400,"Census Tract 204, Fairfield County, Connecticut",3732,3071
1400000US09001020500,9001020500,"Census Tract 205, Fairfield County, Connecticut",4804,4424
1400000US09001020600,9001020600,"Census Tract 206, Fairfield County, Connecticut",5464,4079
1400000US09001020700,9001020700,"Census Tract 207, Fairfield County, Connecticut",4469,3972
1400000US09001020800,9001020800,"Census Tract 208, Fairfield County, Connecticut",2902,2453
1400000US09001020900,9001020900,"Census Tract 209, Fairfield County, Connecticut",4764,3539
1400000US09001021000,9001021000,"Census Tract 210, Fairfield County, Connecticut",3216,2590
1400000US09001021100,9001021100,"Census Tract 211, Fairfield County, Connecticut",6076,4303
1400000US09001021200,9001021200,"Census Tract 212, Fairfield County, Connecticut",4312,3419
1400000US09001021300,9001021300,"Census Tract 213, Fairfield County, Connecticut",4431,2723
1400000US09001021400,9001021400,"Census Tract 214, Fairfield County, Connecticut",7358,3151
