distance,State,County,rdName,rdNumber,rdDirection,tmc,dYear,dMonth,dWeekday,HR24_passVeh,HR24_allVeh,HR24_freight,HR1_passVeh,HR1_allVeh,HR1_freight,HR2_passVeh,HR2_allVeh,HR2_freight,HR3_passVeh,HR3_allVeh,HR3_freight,HR4_passVeh,HR4_allVeh,HR4_freight,HR5_passVeh,HR5_allVeh,HR5_freight,HR6_passVeh,HR6_allVeh,HR6_freight,HR7_passVeh,HR7_allVeh,HR7_freight,HR8_passVeh,HR8_allVeh,HR8_freight,HR9_passVeh,HR9_allVeh,HR9_freight,HR10_passVeh,HR10_allVeh,HR10_freight,HR11_passVeh,HR11_allVeh,HR11_freight,HR12_passVeh,HR12_allVeh,HR12_freight,HR13_passVeh,HR13_allVeh,HR13_freight,HR14_passVeh,HR14_allVeh,HR14_freight,HR15_passVeh,HR15_allVeh,HR15_freight,HR16_passVeh,HR16_allVeh,HR16_freight,HR17_passVeh,HR17_allVeh,HR17_freight,HR18_passVeh,HR18_allVeh,HR18_freight,HR19_passVeh,HR19_allVeh,HR19_freight,HR20_passVeh,HR20_allVeh,HR20_freight,HR21_passVeh,HR21_allVeh,HR21_freight,HR22_passVeh,HR22_allVeh,HR22_freight,HR23_passVeh,HR23_allVeh,HR23_freight
1.629651,NJ,MIDDLESEX,"RIVER RD",622,EASTBOUND,120-07491,2019,01,Tuesday,37,37,NULL,34,34,33,39,39,NULL,39,39,NULL,35,34,33,31,31,33,31,31,38,34,34,32,34,34,33,37,37,35,36,36,35,35,34,31,35,35,35,38,37,36,35,35,30,35,35,35,37,36,35,36,36,35,36,36,NULL,35,35,NULL,38,38,NULL,37,37,NULL,55,43,33,55,44,32
0.064815,NJ,MIDDLESEX,"RIVER RD",622,EASTBOUND,120-07490,2019,01,Tuesday,45,33,28,40,33,28,39,28,27,34,31,27,34,33,32,34,31,28,31,31,30,30,29,25,28,27,25,30,30,29,32,30,27,33,32,28,32,32,31,33,32,31,32,31,27,34,33,30,31,30,26,29,29,25,29,29,26,32,31,28,32,31,29,33,31,28,35,32,30,35,31,27
0.536989,NY,KINGS,"COURT ST",0,SOUTHBOUND,120-18149,2019,01,Tuesday,16,16,NULL,17,17,NULL,21,21,NULL,13,13,NULL,15,15,NULL,11,11,NULL,12,12,NULL,9,9,NULL,11,11,NULL,12,12,NULL,10,10,14,10,10,8,10,10,NULL,10,10,15,12,12,NULL,11,11,NULL,12,12,NULL,11,11,NULL,11,11,NULL,13,13,NULL,16,16,NULL,15,15,NULL,15,15,NULL,17,17,NULL
0.03146,NY,"NEW YORK",NJ-495,495,WESTBOUND,120+04767,2019,01,Tuesday,40,40,NULL,41,41,NULL,34,34,NULL,38,38,NULL,46,45,32,41,42,35,39,39,36,34,34,27,30,30,25,30,29,24,35,34,27,33,33,32,30,30,28,32,32,26,27,27,24,24,24,26,24,24,28,25,25,24,31,31,30,36,36,32,36,36,34,38,38,32,40,39,34,40,40,32
0.528787,NY,KINGS,"COURT ST",0,SOUTHBOUND,120-18148,2019,01,Tuesday,18,18,NULL,20,20,NULL,19,19,NULL,10,10,NULL,14,14,NULL,14,14,NULL,15,15,NULL,12,12,NULL,14,14,NULL,12,12,NULL,13,13,13,13,13,8,12,12,8,14,14,19,15,15,NULL,13,13,NULL,13,13,NULL,13,13,NULL,14,14,NULL,16,16,NULL,13,13,NULL,17,17,NULL,18,18,NULL,18,18,NULL
0.464624,NJ,HUDSON,NJ-495,495,WESTBOUND,120+04769,2019,01,Tuesday,41,41,39,40,40,40,40,40,34,38,38,37,40,38,29,37,37,29,31,31,29,22,23,22,22,22,18,30,29,25,37,37,31,37,37,32,37,37,30,38,38,37,37,37,32,22,22,20,24,24,21,22,22,19,31,31,28,37,37,33,38,38,30,39,39,34,40,40,35,39,39,34
0.072607,NY,SUFFOLK,NY-27,27,WESTBOUND,120+04763,2019,01,Tuesday,61,61,61,62,62,NULL,59,59,58,59,58,60,66,66,60,64,64,64,61,61,56,51,51,48,54,54,50,63,63,65,64,64,56,64,64,59,64,64,61,65,65,63,64,64,58,63,63,57,62,62,58,61,61,48,63,63,58,64,64,NULL,63,63,NULL,66,66,NULL,63,63,NULL,66,65,61
0.417015,NJ,SOMERSET,US-206,206,SOUTHBOUND,120-07499,2019,01,Tuesday,48,48,47,47,48,52,51,49,43,48,47,43,52,52,47,52,51,11,46,45,45,37,37,31,36,36,31,40,39,38,40,39,35,39,39,34,43,42,39,42,42,48,43,43,41,41,40,40,43,42,35,41,40,37,45,45,38,46,46,37,51,51,43,49,49,40,54,53,44,57,47,45
3.339422,NJ,SOMERSET,US-206,206,SOUTHBOUND,120-07498,2019,01,Tuesday,36,34,30,37,38,42,39,36,26,40,39,29,44,43,39,40,40,31,36,36,38,29,29,27,27,27,23,30,30,25,31,31,28,29,29,27,29,29,27,28,28,24,28,28,32,27,26,24,24,24,25,21,21,22,23,23,20,29,29,23,33,32,28,36,36,27,36,36,33,41,38,36
0.216958,NY,SUFFOLK,NY-27,27,WESTBOUND,120+04764,2019,01,Tuesday,57,58,62,60,60,NULL,58,58,57,56,56,60,61,60,58,62,61,62,57,57,54,44,44,33,48,48,40,59,59,54,62,62,60,60,60,48,62,61,47,62,62,60,61,61,62,59,59,48,56,56,62,56,56,35,59,59,58,60,60,NULL,59,59,NULL,62,62,NULL,61,61,NULL,65,65,62
